TriggerName,Code,Binary
expStart,1,1
instructions,3,11
prac2BackStart,4,100
caliStart,5,101
prac1BackStart,6,110
prac3BackStart,7,111
pracMainStart,8,1000
testStart,15,1111
offlineT0Start,16,10000
learningStart,31,11111
offlineT1Start,17,10001
trueChoiceStart,63,111111
offlineT2Start,18,10010
learningCheckT1Start,10,1010
falseChoiceStart,62,111110
offlineT3Start,19,10011
learningCheckT2Start,11,1011
demandRatingStart,12,1100
expEnd,2,10
trialStart,56,111000
fixaCue,240,11110000
cueEasy,242,11110010
cueHard,243,11110011
seqStart_N1,20,10100
seqStart_N2,21,10101
seqStart_N3,22,10110
seqEnd,24,11000
trialEnd,57,111001
fixaLetter,128,10000000
letterSame,130,10000010
letterDiff,131,10000011
respLetterCorrect,135,10000111
respLetterError,134,10000110
respLetterTimeout,132,10000100
fixaProbChoice,160,10100000
probChoiceTrue,164,10100100
probChoiceFalse,168,10101000
respChoiceTrueEasy,167,10100111
respChoiceTrueHard,166,10100110
respChoiceFalseEasy,175,10101111
respChoiceFalseHard,174,10101110
respChoiceTimeout,172,10101100
fixaOfflineRating,192,11000000
probEasyOfflineRating,194,11000010
probHardOfflineRating,195,11000011
respEasyOfflineRating,198,11000110
respHardOfflineRating,199,11000111
respOfflineRatingTimeout,196,11000100
fixaLearningCheck,48,110000
probLearningCheck,50,110010
respLearningCheck,52,110100
probTLX_MentalDemand_N1,96,1100000
probTLX_MentalDemand_N2,97,1100001
probTLX_MentalDemand_N3,98,1100010
probTLX_Effort_N1,100,1100100
probTLX_Effort_N2,101,1100101
probTLX_Effort_N3,102,1100110
probTLX_Frustration_N1,104,1101000
probTLX_Frustration_N2,105,1101001
probTLX_Frustration_N3,106,1101010
respTLX_MentalDemand_N1,112,1110000
respTLX_MentalDemand_N2,113,1110001
respTLX_MentalDemand_N3,114,1110010
respTLX_Effort_N1,116,1110100
respTLX_Effort_N2,117,1110101
respTLX_Effort_N3,118,1110110
respTLX_Frustration_N1,120,1111000
respTLX_Frustration_N2,121,1111001
respTLX_Frustration_N3,122,1111010